,Anthropology.txt
journal,95
anthrop,71
stud,56
anthropology,42
studies,36
bulletin,36
mus,35
bull,35
antrop,34
archaeol,33
american,31
soc,28
amer,28
rev,25
museum,23
african,23
cult,22
afr,21
res,21
indian,18
anthropological,17
research,17
social,17
ethnol,16
inst,16
human,15
etnogr,15
des,15
hist,15
asian,15
et,15
review,15
revista,15
latin,14
archaeology,14
acta,14
sci,14
society,13
archeol,13
hum,12
quarterly,12
archaeological,11
art,11
pap,11
culture,11
la,10
papers,10
newsletter,10
du,9
international,9
history,9
etud,9
newsl,9
arts,9
lore,8
ser,8
nauk,8
man,8
bol,8
mater,8
natn,7
arqueol,7
etnol,7
cah,7
folkl,7
del,7
national,7
folklore,7
sociol,7
und,7
anthropologie,7
ass,7
maya,6
folia,6
akad,6
mitt,6
forum,6
science,6
der,6
canadian,6
cahiers,6
ann,6
pop,6
mitteilungen,6
antiq,6
ssr,6
etudes,6
arch,6
music,6
sociology,6
notes,6
issue,6
urban,6
ethnology,6
magazine,5
cultural,5
ethnogr,5
east,5
monde,5
cuadernos,5
linstitut,5
muz,5
estud,5
anthropologist,5
arheol,5
danthropologie,5
native,5
new,5
ethnologia,5
pr,5
arkheol,5
archeologiczne,5
institute,5
association,5
boletde,5
soci,5
annals,5
muslkerk,5
museo,4
folk,4
life,4
kong,4
navuk,4
ling,4
past,4
liet,4
cultura,4
anthropos,4
sociais,4
ist,4
orient,4
oriental,4
tokyo,4
ethnic,4
antropologia,4
mariae,4
si,4
int,4
visual,4
annales,4
estudios,4
trad,4
apla,4
sociales,4
studia,4
oceania,4
wld,4
world,4
anales,4
little,4
zambezia,4
se,4
pacific,4
genet,4
basin,4
asiatic,4
relig,4
nat,4
noire,4
gypsy,4
ecol,4
dresden,4
kaogu,4
fr,4
south,4
eastern,4
inuit,4
rock,4
hombre,4
physical,4
antiquity,4
bead,4
news,4
boletbol,4
glasn,3
canad,3
anu,3
trans,3
field,3
ecology,3
ethnohistory,3
religions,3
rad,3
artes,3
gruzii,3
occ,3
occasional,3
paris,3
archaeologia,3
ethnologica,3
transactions,3
slav,3
glasnik,3
cambridge,3
australian,3
pacif,3
beitr,3
aust,3
cuad,3
north,3
issues,3
etnografia,3
proc,3
travaux,3
proceedings,3
prehist,3
camb,3
anuario,3
gruz,3
hong,3
akademiya,3
seriya,3
univ,3
izv,3
suppl,3
boletdel,3
tadzhik,3
historia,3
india,3
instituto,3
british,3
med,3
genetics,3
biol,3
arte,3
peasant,3
biology,3
mag,3
morav,3
praehist,3
lietuvos,3
archeologia,3
africa,3
law,3
materialy,3
california,3
lang,3
study,3
middle,3
lit,3
izvestiya,3
wien,3
nar,3
antropologrev,3
bogotá,3
historical,3
annu,3
museums,3
natural,3
archaeologica,3
kult,3
royal,3
nigeria,3
universitatis,3
zeitschriftr,3
language,3
cumania,2
prehistoric,2
curare,2
prace,2
dansalan,2
savanna,2
przeglad,2
domodomo,2
dethnologie,2
dacia,2
dyn,2
sarawak,2
sveske,2
food,2
franáais,2
etnograficzne,2
runa,2
diadora,2
dialect,2
pracematerialy,2
eesti,2
sail,2
samskriti,2
detudes,2
sarance,2
andines,2
przegl,2
department,2
survival,2
centre,2
long,2
ethnological,2
ethnohist,2
osaka,2
recherches,2
coma,2
cimbebasia,2
special,2
québec,2
ciànc,2
chungará,2
chicago,2
lid,2
cesky,2
issled,2
rencontre,2
lond,2
canberra,2
bygd,2
amériques,2
bigott,2
comparative,2
urgent,2
indias,2
cookeia,2
cent,2
rig,2
tbilisi,2
publicaciones,2
antropologcuad,2
information,2
sch,2
africaines,2
dep,2
asia,2
nui,2
southeast,2
beograd,2
china,2
contr,2
contributions,2
radiocarbon,2
rapa,2
plata,2
area,2
spec,2
monaco,2
palacio,2
items,2
ges,2
islam,2
au,2
israel,2
museumrlkerkunde,2
dem,2
aus,2
iraq,2
missiology,2
tadzhikskoy,2
micronesica,2
meyibó,2
mexicon,2
mesoamérica,2
istorijos,2
inuktitut,2
lpz,2
icssr,2
transit,2
hespéristamuda,2
históricas,2
homo,2
evol,2
narodna,2
polo,2
mission,2
indiana,2
far,2
indones,2
informa,2
inf,2
munibe,2
mera,2
mens,2
health,2
brchasiat,2
survey,2
surv,2
literatures,2
kultura,2
branch,2
kroeber,2
moscow,2
libyan,2
kontiki,2
kobie,2
khipu,2
xuebao,2
sbornik,2
kenya,2
levant,2
libyca,2
bunko,2
nowej,2
toyo,2
medical,2
mayab,2
po,2
jewish,2
huty,2
studiesasian,2
metrastis,2
masterkey,2
great,2
gt,2
lud,2
mokslu,2
tsr,2
transition,2
gradhiva,2
polev,2
