,Astronomy and Astrophysics.txt
physics,344
observatory,200
science,174
engineering,144
research,126
society,122
international,114
sciences,112
technology,101
astronomical,100
applied,95
transactions,92
university,91
bulletin,87
publications,81
acta,76
der,76
ieee,73
physical,72
space,69
nauk,67
chemistry,66
astronomy,62
materials,61
izdatel,60
series,59
mathematical,59
communications,55
proceedings,52
review,52
akademiia,51
contributions,51
et,50
mathematics,49
des,49
systems,49
mechanics,48
moscow,46
astrophysics,46
institute,46
letters,45
royal,44
geophysics,44
energy,41
zeitschrift,41
reviews,41
advances,41
und,40
supplement,40
american,40
reports,39
institut,36
reprints,36
applications,36
earth,35
nuclear,34
electronics,34
di,32
la,31
sssr,31
chemical,31
annales,30
report,30
ssr,30
mitteilungen,29
progress,29
japan,28
physica,28
seriia,28
analysis,28
methods,27
indian,27
annals,27
optics,27
trudy,26
geophysical,26
ussr,26
european,26
processing,25
lobservatoire,25
new,25
vki,24
dynamics,24
computational,24
education,23
high,23
izvestiia,23
optical,23
sternwarte,23
academy,23
fur,23
soviet,23
national,23
solid,22
zu,22
theory,22
theoretical,22
aerospace,22
fluid,21
physique,21
control,21
springer,21
annual,21
radio,20
information,20
zhurnal,20
chinese,20
observatorii,20
veroeffentlichungen,20
state,19
revue,19
electronic,19
fizika,19
paris,18
magazine,18
sinica,18
numerical,18
astronomico,18
power,18
jprs,18
studies,18
biophysics,18
vibration,18
molecular,17
modern,17
technical,17
association,17
astronomica,17
observations,17
heat,17
college,17
memoirs,17
izvestiya,17
iee,17
astrophysical,16
quantum,16
mekhanika,16
physik,16
serie,16
leningrad,16
data,16
variable,16
biology,16
issledovaniia,16
scientific,16
asme,15
structures,15
verlag,15
vestnik,15
problemy,15
arxiv,15
atmospheric,15
canadian,15
notes,15
quarterly,15
transfer,15
eprints,15
electrical,14
nauka,14
astronomicheskoj,14
plasma,14
experimental,14
engineers,14
planetary,14
universitet,14
laboratory,14
sci,14
rept,14
aeronautical,13
south,13
laser,13
tokyo,13
astronomischen,13
signal,13
computers,13
environmental,13
publication,13
gesellschaft,13
techniques,13
history,13
doklady,13
section,12
universitaetssternwarte,12
design,12
shock,12
solar,12
faculty,12
berlin,12
observatoire,12
development,12
meteorology,12
mechanical,12
observatorio,12
fiziki,12
british,12
america,11
philosophical,11
surface,11
topics,11
academie,11
london,11
special,11
center,11
newsletter,11
atomic,11
star,11
circular,10
sensing,10
papers,10
computing,10
instruments,10
remote,10
measurement,10
medicine,10
radiation,10
computation,10
image,10
geology,10
universitaet,10
physikalische,10
australian,10
imaging,10
instituta,10
belgique,10
advanced,9
ime,9
acoustics,9
institution,9
stars,9
composites,9
biochemistry,9
electron,9
zealand,9
meteorological,9
osservatorio,9
