,Chemical.txt
chem,260
chemistry,150
sci,140
science,108
materials,94
mater,90
chemical,88
technol,72
phys,72
eng,68
acta,66
engineering,63
res,60
international,59
technology,57
biochem,50
research,49
rev,48
physics,45
applied,43
soc,41
lett,39
polym,38
biol,37
adv,37
molecular,36
biochemistry,35
environ,35
ser,34
letters,33
society,32
polymer,31
environment,31
appl,29
biotechnol,28
reviews,27
physical,27
advances,27
toxicol,26
anal,26
progress,26
prog,25
mol,24
process,24
int,23
toxicology,23
bulletin,23
organic,23
biotechnology,23
bull,22
microbiol,21
commun,20
med,20
des,20
biology,20
inorganic,20
sciences,20
drug,20
mass,20
state,19
communications,19
food,19
methods,19
solid,18
microbiology,18
water,18
pharmacology,18
met,17
metall,17
nuclear,17
cell,17
analytical,17
biochemical,17
chemie,17
chim,17
health,16
european,16
pharmacol,16
trans,16
review,16
processing,15
environmental,15
high,15
inorg,15
transactions,15
fur,15
series,15
spectrosc,15
new,15
heat,15
struct,14
surf,14
energy,14
compos,14
american,14
org,14
zeitschrift,13
powder,13
opt,13
tech,13
spectroscopy,13
london,12
interface,12
asi,12
catal,12
canadian,12
synthesis,12
surface,12
industrial,12
arch,12
nato,12
metallurgy,12
spectrom,12
colloid,11
chromatogr,11
transfer,11
annu,11
ceram,11
biological,11
nucl,11
reports,11
composites,11
medicinal,11
advanced,11
protein,11
annual,11
archives,11
physiol,10
ind,10
analysis,10
rep,10
pharm,10
fluids,10
glass,10
data,10
khim,10
current,10
processes,10
curr,10
metals,10
catalysis,10
cryst,10
waste,10
topics,9
nat,9
zhurnal,9
separation,9
magn,9
spectrometry,9
zh,9
manage,9
related,9
chimica,9
natural,9
macromolecular,9
crystallogr,9
indian,9
sect,9
chinese,8
russian,8
resonance,8
reson,8
cimento,8
design,8
magnetic,8
plasma,8
react,8
mech,8
fems,8
clinical,8
polymers,8
composite,8
pharmaceutical,8
matter,8
plant,8
diamond,8
synth,8
electron,8
fusion,8
lab,8
sep,8
lipid,8
experimental,8
biophys,8
mining,7
optics,7
und,7
fluid,7
min,7
inst,7
electrochem,7
physiology,7
syst,7
geochem,7
enzyme,7
compd,7
trace,7
exp,7
comput,7
relat,7
bioorganic,7
symposium,7
acs,7
quimica,6
quim,6
thermal,6
radiation,6
radiat,6
angewandte,6
dev,6
edition,6
angew,6
ed,6
elem,6
ann,6
di,6
medicine,6
clin,6
acad,6
phase,6
mechanics,6
ceramics,6
oil,6
crit,6
carbohydrate,6
discovery,6
management,6
et,6
pure,6
macromol,6
modern,6
papers,6
prod,6
perkin,6
critical,6
elements,6
jsme,6
metal,6
la,6
marine,6
th,6
mar,6
royal,6
trends,6
khimii,6
chromatography,6
fuel,6
ceramic,6
metallurgical,6
today,6
organometallic,6
compounds,6
heterocyclic,6
technik,5
liq,5
rapid,5
systems,5
institution,5
eur,5
crystals,5
development,5
geol,5
institute,5
concr,5
concrete,5
cellular,5
proceedings,5
philosophical,5
physicaphysica,5
tetrahedron,5
geochemistry,5
liquid,5
minerals,5
theor,5
plast,5
theoretical,5
crystal,5
growth,5
opinion,5
opin,5
biomed,5
solidstate,5
physique,5
bioorg,5
jpn,5
italiana,5
ital,5
manufacturing,5
reaction,5
kinet,5
structures,5
japanese,5
miner,5
nmr,5
abstracts,5
peptide,5
meeting,5
national,5
organomet,5
biomolecular,5
chimie,5
states,5
optical,5
crystallographica,5
united,5
carbohydr,5
structure,5
mineral,5
atomic,5
flow,4
biophysical,4
coatings,4
soil,4
ion,4
fiz,4
korean,4
characterization,4
status,4
kinetics,4
indica,4
revue,4
supramolecular,4
inf,4
york,4
supramol,4
saf,4
instrum,4
mrs,4
faraday,4
china,4
microporous,4
corros,4
plasmas,4
deacademie,4
group,4
comp,4
silicon,4
life,4
forum,4
comparative,4
heterocycl,4
liebigs,4
sulfur,4
comptes,4
rendus,4
serie,4
ecol,4
biomedical,4
products,4
phosphorus,4
cr,4
springer,4
sept,4
transition,4
petroleum,4
corrosion,4
safety,4
polymeric,4
infrared,4
main,4
pol,4
pap,4
cells,4
funct,4
express,4
geology,4
nuovo,4
fuels,4
photochemistry,4
insect,4
anticancer,4
rubber,4
contam,4
carbon,4
biophysics,4
photochem,4
der,4
engineeringmater,4
toxicological,4
cycles,4
della,4
electronics,4
material,4
fis,4
plastics,4
free,4
radical,4
solids,4
symp,4
prot,4
nucleic,4
temp,4
films,4
laboratory,4
electrochemical,4
networks,4
fisicanuovo,4
genomics,4
xray,4
gas,4
societa,4
combustion,3
global,3
recl,3
fatigue,3
semicond,3
techniques,3
semiconductor,3
combust,3
hazardous,3
instruments,3
performance,3
nachrichten,3
fresenius,3
quarterly,3
indianchem,3
numerical,3
sensors,3
purification,3
temperature,3
purif,3
electrochemistry,3
internet,3
quantum,3
lipids,3
charact,3
spectrochimica,3
laboratorium,3
br,3
british,3
nova,3
mag,3
aus,3
aerosol,3
monit,3
coordination,3
div,3
contamination,3
prepr,3
metab,3
mod,3
computational,3
tlc,3
mediators,3
division,3
controlled,3
ber,3
condensed,3
condens,3
naturforschung,3
particle,3
microsc,3
societyam,3
air,3
asian,3
testing,3
synthetic,3
structural,3
astron,3
autom,3
automation,3
thermodyn,3
general,3
radioanalytical,3
iii,3
sources,3
pollut,3
sectiontrans,3
physicsappl,3
scandinavica,3
dc,3
physica,3
functional,3
pharmacological,3
scientific,3
fields,3
intser,3
chemica,3
photobiol,3
medical,3
protection,3
chemische,3
scripta,3
biomol,3
washington,3
qual,3
coat,3
pet,3
therm,3
manuf,3
chemother,3
pharmacy,3
galvanotechnik,2
nauk,2
fullerene,2
fundam,2
biosphere,2
ecotoxicology,2
physiological,2
gefahrstoffe,2
adhesives,2
drying,2
earth,2
online,2
planta,2
luft,2
highlights,2
electro,2
organohalogen,2
origins,2
economic,2
ecotoxicol,2
educ,2
geochemical,2
explor,2
solidi,2
frontier,2
integr,2
fiber,2
fett,2
pollution,2
ferroelectr,2
quality,2
microbial,2
ferroelectrics,2
seriesphilos,2
febs,2
microb,2
transsoc,2
erdol,2
kohle,2
erdgas,2
faseb,2
ca,2
materialia,2
magazinephilos,2
field,2
fluidsphys,2
fizika,2
lettersphys,2
electronic,2
ozone,2
embo,2
glasses,2
exploration,2
peptides,2
pesticide,2
pestic,2
equilib,2
metalloved,2
solidiphys,2
transitions,2
polonicaacta,2
perspectives,2
perspect,2
monitoring,2
antiviral,2
interventions,2
prep,2
accounts,2
acc,2
aided,2
designcomput,2
computeraided,2
appita,2
south,2
chromatographyj,2
african,2
spray,2
information,2
toxicologytoxicol,2
cutaneous,2
toxin,2
microprobe,2
vacuum,2
partnumer,2
technologyj,2
vac,2
biomaterials,2
chemistrybiol,2
gummi,2
key,2
chemistryautom,2
kolloidn,2
aug,2
kovove,2
materialy,2
laser,2
lcgc,2
magazine,2
ach,2
perk,2
chemistrychem,2
models,2
modell,2
graphics,2
microelectronic,2
microbiological,2
photobiologyj,2
chemistryphys,2
chemistryj,2
technologymater,2
gen,2
seriesj,2
physicsmacromol,2
biochimica,2
planar,2
partpolymer,2
partpolym,2
researchinterferon,2
cytokine,2
interferon,2
chemists,2
biochim,2
power,2
paper,2
quantitative,2
microbiologygen,2
aci,2
eval,2
phenom,2
dalton,2
transactionschem,2
annalen,2
recueil,2
lubrication,2
sectionmol,2
finishing,2
cienc,2
mixtures,2
nachr,2
nano,2
nd,2
ieee,2
hyperfine,2
hydrocarbon,2
resolut,2
resolution,2
toxins,2
naunynschmiedebergs,2
ndt,2
roh,2
holz,2
perform,2
neorg,2
neurochem,2
treat,2
treatment,2
