,Economics.txt
econ,394
economic,185
review,176
rev,176
economics,152
finance,81
bank,61
stud,57
res,55
economy,54
international,53
bus,48
business,48
studies,48
reserve,42
pol,39
policy,39
sci,39
research,37
public,36
revista,34
devel,34
int,34
revue,32
manage,31
development,31
management,31
soc,31
quarterly,29
social,27
financial,26
new,25
quart,25
pap,24
papers,24
hist,24
science,23
law,22
history,21
fed,21
finan,21
federal,21
agricultural,21
society,20
economia,20
bull,20
political,19
bulletin,19
european,19
world,18
applied,17
australian,17
american,17
african,16
estate,16
theory,16
anal,15
regional,15
polit,15
resource,15
trade,15
energy,14
urban,14
population,13
economies,13
university,13
rivista,12
issues,12
reg,12
amer,12
indian,12
appl,12
asian,12
industrial,12
sciences,11
markets,11
econometrics,11
ns,11
statistical,11
pacific,11
agr,11
east,11
real,11
univ,10
statist,10
und,10
change,10
labour,10
accounting,10
oxford,10
zeitschriftr,10
health,10
peace,10
global,10
forum,10
housing,9
japanese,9
ind,9
resources,9
eastern,9
environ,9
deconomie,9
lab,9
analysis,9
organ,8
inst,8
islamic,8
banking,8
japan,8
tax,8
ekon,8
et,8
transportation,8
philippine,8
ann,8
practice,8
politics,8
risk,8
di,8
economica,8
transp,7
acc,7
aff,7
planning,7
marketing,7
canadian,7
environment,7
southern,7
industry,7
family,7
middle,7
asiapacific,7
educ,7
dynamics,6
relat,6
york,6
cuadernos,6
relations,6
inquiry,6
europ,6
environmental,6
economist,6
politica,6
dynam,6
services,6
economie,6
monthly,6
il,6
choice,6
economiques,6
education,6
la,5
estudios,5
española,5
asia,5
pakistan,5
der,5
annals,5
yale,5
human,5
estud,5
rural,5
governance,5
series,5
systems,5
income,5
quantitative,5
operations,5
enterprise,5
labor,5
soviet,5
organization,5
mathematical,5
politique,4
contemporary,4
central,4
tourism,4
quaderni,4
china,4
postsoviet,4
dallas,4
ser,4
chinese,4
française,4
jahr,4
czech,4
technology,4
transition,4
africanecon,4
south,4
en,4
ins,4
geneva,4
foreign,4
food,4
schmollers,4
francisco,4
san,4
richmond,4
atlanta,4
city,4
innovation,4
national,4
staff,4
delle,4
defence,4
desarrollo,4
africa,4
eastwest,4
econometric,4
bestuurswetenskappesouth,4
scelte,4
cahiers,4
suidafrikaanse,4
modelling,4
info,4
design,4
perspectives,4
perspect,4
cah,4
kansas,4
prob,4
economique,4
math,4
bangladesh,4
england,4
natural,4
radova,4
brazilian,4
israel,4
monetary,4
nonlinear,4
sociology,4
manchester,4
rijeka,4
dec,4
decision,4
values,4
german,4
trends,4
zealand,4
geogr,4
prévision,4
geography,4
zbornik,4
osaka,4
money,4
statistics,4
institute,4
antitrust,4
kobe,4
lindustria,4
lit,4
assoc,4
consumer,4
brookingswharton,4
affairs,4
letters,4
growth,3
compar,3
conflict,3
irish,3
empirical,3
western,3
swedish,3
economico,3
behavioral,3
insurance,3
developing,3
game,3
annales,3
comparative,3
monet,3
maritime,3
lavoro,3
theoretical,3
historical,3
cyprus,3
nat,3
czechoslovak,3
del,3
statistica,3
economicsagr,3
thought,3
modeling,3
admin,3
eng,3
wirtschafts,3
quant,3
sch,3
económica,3
schweizerische,3
política,3
okonomi,3
fiscal,3
philadelphia,3
cambridge,3
russian,3
spectrum,3
school,3
regulation,3
