,Law.txt
law,525
journal,301
review,200
lj,100
university,81
international,71
rev,44
poly,44
policy,39
legal,35
jl,33
environmental,31
intl,25
technology,20
new,20
envtl,20
comparative,19
st,19
womens,18
public,17
tech,17
american,15
business,14
health,14
hastings,14
texas,13
state,13
yale,13
rights,13
ucla,12
pub,12
property,12
harvard,12
sports,11
columbia,11
bus,11
comp,11
york,11
intellectual,11
tax,11
berkeley,10
loyola,10
entertainment,10
harv,10
lawyer,9
prop,9
cardozo,9
ethics,9
michigan,9
civil,9
race,9
intell,9
stud,9
gender,9
social,9
fordham,9
geo,8
georgetown,8
washington,8
human,8
quarterly,8
writing,8
boston,8
seton,8
ent,8
tex,8
resources,8
ohio,8
rts,7
buffalo,7
california,7
san,7
econ,7
virginia,7
rutgers,7
florida,7
criminal,7
soc,7
high,6
emory,6
suffolk,6
western,6
duke,6
intlrev,6
com,6
southern,6
penn,6
stanford,6
transnational,6
loy,6
college,6
asian,6
hall,6
resol,6
buff,6
hum,6
tulane,6
north,6
carolina,6
mary,6
institute,5
resolution,5
william,5
national,5
wm,5
comprev,5
chicago,5
cornell,5
economics,5
labor,5
pace,5
culture,5
uc,5
science,5
hofstra,5
indiana,5
fla,4
studies,4
notre,4
media,4
george,4
envtlrev,4
arts,4
ocean,4
villanova,4
santa,4
illinois,4
thomas,4
coastal,4
miami,4
school,4
constitutional,4
pol,4
change,4
maritime,4
forum,4
pennsylvania,4
land,4
temple,4
european,4
depaul,4
nyu,4
dispute,4
care,4
contemporary,4
lq,4
dev,4
ann,4
colum,4
quinnipiac,4
pacific,4
trial,4
minnesota,4
england,4
marquette,4
annual,4
lab,4
employment,4
mich,4
la,4
trade,4
communications,3
affairs,3
bc,3
advoc,3
society,3
connecticut,3
wisconsin,3
socy,3
touro,3
const,3
research,3
stan,3
lee,3
emp,3
arizona,3
probs,3
problems,3
politics,3
banking,3
maryland,3
prof,3
marq,3
issues,3
sport,3
dame,3
widener,3
development,3
marys,3
denver,3
fam,3
global,3
angeles,3
family,3
marshall,3
reviewmiami,3
ind,3
wash,3
administrative,3
