,Medical.txt
journal,2504
med,1839
health,1274
rev,1045
acta,732
dent,721
res,674
clin,636
care,538
biol,483
sci,479
soc,471
medicine,459
medical,435
bull,431
research,418
arch,387
clinical,380
nurs,374
suppl,373
dental,357
surg,304
cell,285
assoc,284
american,277
international,272
ann,271
nurse,254
rep,253
bulletin,252
hosp,244
nursing,238
pathol,234
adv,231
biology,218
dis,215
int,215
cancer,207
fur,206
odontol,206
zasshi,206
exp,204
revista,189
society,184
et,183
review,182
surgery,180
immunol,178
pediatr,174
chir,174
physiol,173
mol,172
science,169
und,168
pract,168
microbiol,166
biochem,164
supplement,163
experimental,162
psychiatry,161
ther,159
neurol,156
inst,154
manage,152
acad,151
dev,150
drug,147
law,146
molecular,145
curr,144
nippon,144
chem,143
pharmacol,141
news,140
child,137
oral,136
sciences,136
psychol,135
advances,135
hospital,131
association,130
biochemistry,128
prog,126
tsa,125
univ,124
european,124
new,123
chih,122
di,122
radiol,121
zeitschrift,120
genet,120
hum,119
gakkai,119
paris,116
state,115
management,115
pharmacology,115
oncol,115
vet,112
annu,112
public,109
psychiatr,108
educ,108
reviews,108
lab,107
nutr,106
proc,105
physiology,105
archives,103
natl,100
monogr,99
pathology,99
brain,99
obstet,98
chung,97
immunology,97
semin,96
serv,96
toxicol,96
pharm,95
la,94
environ,94
north,92
behav,92
appl,91
human,90
quarterly,90
reports,89
crit,87
environmental,87
hsueh,87
fr,86
der,86
trans,85
vital,84
minerva,84
nurses,84
scand,83
endocrinol,82
dermatol,82
des,82
current,81
folia,81
british,80
diseases,80
revue,80
social,80
toxicology,79
ital,79
applied,79
medica,79
anat,78
national,77
ser,77
ophthalmol,77
technol,76
food,76
stat,75
trends,75
gynecol,75
progress,75
control,74
healthc,74
japanese,74
trop,74
klin,74
nutrition,73
hyg,73
pediatric,73
world,73
esp,72
epidemiol,71
series,71
pol,71
commun,71
clinics,70
eur,70
report,70
life,69
policy,69
annals,69
practice,69
microbiology,68
coll,68
riv,68
dentistry,68
manag,68
proceedings,68
adm,68
eng,67
stomatol,67
canadian,67
forum,67
ment,66
development,66
biomed,66
metab,66
probl,66
indian,65
biological,65
urol,64
oncology,64
diagn,63
symp,63
blood,63
tech,62
veterinary,62
annual,62
chemistry,62
phys,61
fac,61
belg,61
allergy,60
community,60
obstetrics,60
newsl,60
bol,60
orthop,60
opin,59
odontologia,59
data,59
methods,59
disease,59
medicina,58
gen,58
today,58
genetics,58
cardiol,58
transactions,58
stud,58
issues,58
anim,58
services,57
comparative,56
ginecol,56
annales,56
alcohol,56
gastroenterol,55
laboratory,55
academy,55
zentralbl,54
biotechnol,54
critical,54
seminars,54
anal,53
infect,53
therapy,53
healthcare,52
syst,52
conf,52
biophys,52
cardiovasc,51
australian,51
neurosci,51
statistics,51
scandinavian,50
invest,50
paediatr,49
shika,49
imaging,49
psychology,49
inf,49
mod,49
ed,48
sch,48
dig,48
mental,48
comp,48
developmental,48
daigaku,48
del,47
supplementum,47
lett,46
aging,46
transplant,46
archiv,46
dtsch,46
comput,46
bras,46
patol,46
hua,46
neurology,45
ophthalmology,45
fed,45
metabolism,45
education,45
technology,44
chirurgie,44
rehabil,44
fortschr,44
college,44
hung,44
biotechnology,44
scandinavica,44
america,44
zh,44
ko,43
medecine,43
da,43
cardiovascular,43
akad,42
virol,42
cellular,42
soins,42
engineering,42
endocrinology,42
rinsho,42
patient,42
rehabilitation,41
perspect,41
mikrobiol,41
sheng,41
tropical,40
heart,40
nauk,40
drugs,40
nephrol,40
gynaecol,40
general,40
biomedical,40
cir,40
reprod,40
qual,40
protein,39
physician,39
radiology,39
physicians,39
enferm,39
university,39
hematol,38
prax,38
beitr,38
contemp,38
growth,38
cells,38
mex,38
cesk,38
therapeutics,38
surgical,37
plann,37
ethics,37
prev,37
studies,37
aust,37
fam,37
lung,36
gynecology,36
respir,36
cty,36
home,35
clinica,35
administration,35
monographs,35
pao,35
behavior,35
ophthalmic,35
archivio,35
emerg,35
prof,35
crc,35
chi,35
west,35
occupational,34
argent,34
spec,34
air,34
aids,34
igaku,34
mal,34
parasitol,34
diabetes,34
opinion,34
animal,34
hygiene,34
orthod,34
sante,33
odontostomatol,33
group,33
newsletter,33
nucl,33
du,33
rivista,33
behavioral,33
morphol,33
italiano,33
tokyo,33
sports,32
chemical,32
institute,32
econ,32
relat,32
radiat,32
lond,32
neurobiol,32
gerontol,32
lek,32
sanit,32
sao,32
focus,32
geka,31
hist,31
psychiatric,31
tissue,31
biochemical,31
plast,31
topics,31
infirm,31
calif,31
ind,30
popul,30
risk,30
otorhinolaryngol,30
wochenschr,30
update,30
neurochir,30
mem,30
dist,30
nav,30
cent,30
radiation,29
royal,29
intensive,29
giornale,29
biophysics,29
perspectives,29
mater,29
pasteur,29
odontologica,29
rec,29
womens,29
neuroscience,29
pharmacy,29
planning,29
nephrology,29
epidemiology,29
genes,29
zealand,29
publica,29
gene,28
bakteriol,28
klinische,28
bibl,28
jpn,28
microsc,28
tijdschr,28
work,28
physiological,28
quality,28
otolaryngol,28
chest,28
economics,27
medizin,27
mag,27
schweiz,27
emergency,27
kango,27
symposium,27
disord,27
nuclear,27
conference,27
communications,27
adolesc,26
assist,26
monatsschr,26
gynaecology,26
berl,26
term,26
espanola,26
br,26
african,26
nat,26
family,26
gastroenterology,26
infectious,26
paulo,26
otol,26
arq,26
tuberc,26
anesth,26
rass,26
geriatr,25
respiratory,25
physics,25
microbiologica,25
