,Religion.txt
journal,381
studies,168
review,148
quarterly,98
st,97
american,94
th,79
bulletin,74
rel,71
history,70
society,68
religion,67
theological,63
theology,63
christian,54
bul,49
chr,44
international,43
world,43
soc,40
new,40
social,37
life,36
philosophy,34
historical,34
religious,33
research,32
church,31
et,31
education,28
des,28
revue,28
bib,26
zeitschriftr,26
jewish,25
rev,25
biblical,25
und,24
psychology,23
pro,23
east,22
thought,22
chicago,22
study,21
association,21
science,21
seminary,20
eastern,20
news,19
studia,19
vita,19
hist,19
modern,19
faith,19
magazine,18
mundi,18
revista,18
culture,18
university,17
africa,17
asian,17
religions,16
southern,16
der,16
institute,16
literature,16
evangelical,16
forum,16
library,16
newsletter,15
european,15
annual,15
books,15
ed,14
ref,14
philosophical,14
african,14
ethics,14
res,14
ministry,14
arts,14
die,14
renaissance,14
today,14
sociology,14
ch,13
lit,13
études,13
zeitschrift,13
indian,13
dialogue,13
archivr,13
york,13
america,13
archaeology,13
harvard,13
near,12
idoc,12
islam,12
academy,12
sem,12
mission,12
anthropology,12
pastoral,12
sci,12
affairs,12
proceedings,12
times,12
public,11
folklore,11
comparative,11
baptist,11
bible,11
lutheran,11
archives,11
papers,11
literary,11
century,11
center,11
theologie,11
national,11
judaism,11
bibliography,11
rivista,10
di,10
phil,10
women,10
miss,10
christianity,10
sciences,10
book,10
bk,10
sociological,9
ev,9
reformed,9
political,9
ph,9
islamic,9
orient,9
art,9
inst,9
series,9
relations,8
industrial,8
notes,8
archiv,8
arch,8
catholic,8
college,8
oriental,8
biblica,8
urban,8
english,8
latin,8
report,8
divinity,8
ecumenical,8
christ,8
luth,8
div,8
theologische,8
interdisciplinary,8
canadian,8
music,7
india,7
early,7
south,7
middle,7
black,7
chinese,7
justice,7
sac,7
cent,7
perspectives,7
supplement,7
bibliotheca,7
philosophie,7
scholar,7
humanities,7
hebrew,7
jahrbuchr,7
australian,7
internationale,7
monthly,7
int,7
sacra,7
methodist,7
presbyterian,7
cahiers,7
assoc,7
values,7
feminist,6
ex,6
digest,6
hill,6
atlantic,6
saturday,6
theologica,6
muslim,6
medieval,6
mennonite,6
weekly,6
asia,6
jahrbuch,6
psychoanalytic,6
brethren,6
jb,6
british,6
faculty,6
studi,6
language,6
state,6
care,6
ridge,6
essays,6
business,6
vox,6
reflections,6
anthropologist,6
andover,6
criticism,6
word,6
ancient,6
analecta,6
jew,6
univ,6
liturgy,6
trinity,6
cross,6
notre,6
bks,6
tribune,6
concordia,6
societies,6
wscf,6
orthodox,6
policy,6
orientalia,6
ann,6
philology,6
communio,6
acta,6
orientale,6
classical,6
family,6
west,5
action,5
intellectual,5
orth,5
counseling,5
currents,5
coun,5
point,5
filosofia,5
estudios,5
scottish,5
opinion,5
reformation,5
contemporary,5
ind,5
reports,5
japan,5
theory,5
online,5
western,5
pentecostal,5
scientific,5
human,5
information,5
testament,5
sixteenth,5
anglican,5
dossiers,5
mormon,5
school,5
interculture,5
lib,5
pacific,5
past,5
kirchengeschichte,5
breth,5
practice,5
liturg,5
geschichte,5
occasional,5
suppl,5
churches,5
congress,5
théologie,5
ethnic,5
law,5
svensk,5
living,5
humanism,5
mccormick,4
theol,4
reconstruction,4
lwf,4
lhistoire,4
welt,4
midamerica,4
park,4
min,4
man,4
mod,4
milton,4
hispanic,4
eccl,4
buddhist,4
communication,4
ecclesia,4
zionism,4
council,4
museum,4
computing,4
documentation,4
office,4
semitic,4
disciples,4
transactions,4
old,4
liber,4
quaker,4
reader,4
dame,4
sacred,4
cultural,4
bioethics,4
pap,4
leadership,4
worship,4
current,4
europe,4
cassettes,4
en,4
orients,4
van,4
bijdragen,4
duke,4
chronicle,4
psychohistory,4
byzantine,4
louvain,4
tradition,4
zygon,4
jud,4
minority,4
esprit,4
rabbinic,4
vie,4
proc,4
rep,4
dhistoire,4
annali,4
annals,4
record,4
fides,4
french,4
second,4
farms,4
horizons,4
augustiniennes,4
sojourners,4
asbury,4
psychiatry,4
issues,4
england,4
orientalis,4
risk,4
touchstone,4
jordan,4
sewanee,4
german,4
la,4
newton,4
augustiniana,4
greek,4
affirmation,4
inquiry,4
harpers,4
exchange,4
byz,4
harv,4
native,3
politics,3
angl,3
africaines,3
historia,3
kerygma,3
service,3
eng,3
perspective,3
anthropological,3
ministries,3
republic,3
washington,3
sexuality,3
ethnology,3
lat,3
neuzeit,3
ser,3
pittsburgh,3
islams,3
skrif,3
royal,3
thot,3
periodica,3
united,3
martyn,3
literaturzeitung,3
hymn,3
kunde,3
cath,3
critical,3
higher,3
london,3
acad,3
cristianismosociedad,3
friends,3
luther,3
wiener,3
covenant,3
ideas,3
patristic,3
crit,3
age,3
internationales,3
missionalia,3
concor,3
conference,3
deutschen,3
bapt,3
sch,3
teologisk,3
tyndale,3
literatures,3
théologique,3
missionary,3
morale,3
curr,3
israel,3
yearbook,3
schools,3
psychological,3
homiletic,3
cultic,3
wesleyan,3
foundations,3
amer,3
nieman,3
libraries,3
verbum,3
scholarship,3
du,3
fellowship,3
midwest,3
wesley,3
zur,3
christentum,3
philosophiques,3
kirchliche,3
recherches,3
interpretation,3
ethnomusicology,3
stud,3
lore,3
prac,3
sbl,3
seminar,3
encounter,3
trends,3
northwest,3
heritage,3
belief,3
insight,3
experimental,3
brazil,3
stone,3
asiath,3
historiae,3
baháí,3
teol,3
practical,3
eth,3
austin,3
esa,3
chaplaincy,3
chap,3
tijdschrift,3
reference,3
wcc,3
ephemerides,3
resources,3
economic,3
wildlife,3
renewal,3
north,3
ethical,3
pulpit,2
way,2
testamentstt,2
lonergan,2
look,2
liturgical,2
holocaust,2
gen,2
jott,2
hopkins,2
jian,2
japanese,2
hugoye,2
rights,2
mystische,2
linguistic,2
listening,2
addiction,2
intergroup,2
heythrop,2
historian,2
divorce,2
speaking,2
mediaeval,2
hast,2
geography,2
studiesasian,2
