,BioScience.txt,Zoological Records.txt,Philosophy.txt,Medical.txt,Law.txt,Humanities.txt,Chemical.txt,Religion.txt,Economics.txt,Anthropology.txt,Korean Medical Terms.txt,Astronomy and Astrophysics.txt,,,,,,,,,,,,,
aalesund,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
aanii,1,0,0,0,0,0,0,0,0,0,0,0,,BioScience.txt,Zoological Records.txt,Philosophy.txt,Medical.txt,Law.txt,Humanities.txt,Chemical.txt,Religion.txt,Economics.txt,Anthropology.txt,Korean Medical Terms.txt,Astronomy and Astrophysics.txt
aaohn,2,0,0,3,0,0,0,0,0,0,0,0,,46809,71368,3120,71735,3488,5100,7609,5129,5080,2332,844,9403
aarsberet,6,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
aarsberetning,4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
aarsmelding,12,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
aarsrapp,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
aarsrapport,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
aastaraamatyearbook,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
aastaraamyearb,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
abdulaziz,2,2,0,0,0,0,0,0,2,0,0,0,,,,,,,,,,,,,
abfall,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
abh,3,40,0,2,0,0,0,0,0,1,0,1,,,,,,,,,,,,,
abhandlungen,3,39,0,1,0,1,0,0,0,1,0,2,,,,,,,,,,,,,
abidjan,3,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
abs,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
abst,4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
abstr,3,13,0,14,0,0,0,0,1,0,0,0,,,,,,,,,,,,,
abstracts,9,14,0,8,0,1,5,0,1,0,0,7,,,,,,,,,,,,,
abstractspanellinio,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
abstrpanell,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
aburatsubo,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
abuse,18,0,0,24,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
abwasser,1,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
abwasserfischflussbiol,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
abysses,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
ac,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
acad,48,142,2,170,1,0,6,3,1,1,7,4,,,,,,,,,,,,,
academia,3,27,0,4,0,2,0,0,2,0,0,4,,,,,,,,,,,,,
academiae,2,15,0,15,0,4,0,1,0,0,0,2,,,,,,,,,,,,,
academic,2,0,2,5,0,0,0,1,0,0,0,2,,,,,,,,,,,,,
academician,1,1,2,0,0,1,0,0,2,0,0,0,,,,,,,,,,,,,
academie,1,9,0,16,0,0,4,0,0,0,0,11,,,,,,,,,,,,,
academy,40,81,4,56,1,8,2,13,1,0,7,23,,,,,,,,,,,,,
acarol,2,8,0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
acarologia,2,2,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
acarology,2,6,0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
acc,5,1,0,4,0,0,2,0,10,0,0,1,,,,,,,,,,,,,
accad,1,21,0,8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
accid,1,0,0,6,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
accident,3,0,0,6,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
